Fecha,Lugar,Restaurante,Entradas concierto,ubicación
septiembre 15,"DOLBY LIVE AT PARK MGM, LAS VEGAS, NV",,https://www.ticketmaster.com/luis-miguel-tour-2023-las-vegas-16-09-2023/event/2E005E9A974835AF,https://goo.gl/maps/seUt7Cb5aiqmsFoE6
septiembre 24,"KIA FORUM, LOS ANGELES, CA",,https://www.ticketmaster.com/luis-miguel-tour-2023-las-vegas-16-09-2023/event/2E005E9A974835AF,https://goo.gl/maps/bDTBkaosnmNNgmqUA
octubre 5,"ALLSTATE ARENA, CHICAGO, IL",,https://www.ticketmaster.com/luis-miguel-tour-2023-las-vegas-16-09-2023/event/2E005E9A974835AF,https://goo.gl/maps/QbbWeDo3BAZBRp7B9
octubre 8,"MADISON SQUARE GARDEN, NEW YORK, NY",,https://www.ticketmaster.com/luis-miguel-tour-2023-las-vegas-16-09-2023/event/2E005E9A974835AF,https://goo.gl/maps/ow51QRHn5UXXSriW6
octubre 11,"KASEYA CENTER, MIAMI, FL",,https://www.ticketmaster.com/luis-miguel-tour-2023-las-vegas-16-09-2023/event/2E005E9A974835AF,https://goo.gl/maps/phFWaxfRa7R7TL4PA
noviembre 15,"ESTADIO BANORTE, MONTERREY, NL",,https://www.ticketmaster.com/luis-miguel-tour-2023-las-vegas-16-09-2023/event/2E005E9A974835AF,https://goo.gl/maps/mvu1D7abag6DAb4U6
noviembre 20,"ARENA CDMX, CIUDAD DE MÉXICO",,https://www.ticketmaster.com/luis-miguel-tour-2023-las-vegas-16-09-2023/event/2E005E9A974835AF,https://goo.gl/maps/gQ4kqyWpYsJL6bT36
diciembre 8,"ESTADIO CUAUHTÉMOC, PUEBLA, PUE",,https://www.ticketmaster.com/luis-miguel-tour-2023-las-vegas-16-09-2023/event/2E005E9A974835AF,https://goo.gl/maps/A8qGfEfs2fYZbLp26
diciembre 10,"ESTADIO TECNOLÓGICO DE OAXACA, OAXACA, OAX",,https://www.ticketmaster.com/luis-miguel-tour-2023-las-vegas-16-09-2023/event/2E005E9A974835AF,https://goo.gl/maps/PDRxsgS4LA2372FM7
,Acapulco,Harry’s Steakhouse & Raw Bar,,https://goo.gl/maps/J34tEd2g2Wr4bppH8
,Cdmx,Harry’s Steakhouse & Raw Bar,,https://goo.gl/maps/LboFgRi3g5Bu6mpj8
,New York,il cortile,,https://goo.gl/maps/EzMQCQneiqifvsX5A
,Los Angeles,Providence,,https://goo.gl/maps/c1EY7LK2RefFzRYcA
,Miami,Sexy Fish,,https://goo.gl/maps/vnyX5XtK9pFG9shR6
,Las Vegas,Restaurant Guy Savoy,,https://goo.gl/maps/4uobBcvHTrv6HTRv8
