Categoría,Recomendación,Descripción,Dirección ,Ubicación
Cultural,Palacio de Bellas Artes,"Además de ser un lugar para actuaciones en vivo, alberga exposiciones de arte y murales de artistas famosos como Diego Rivera.","Av. Juárez S/N, Centro Histórico de la Cdmx",https://goo.gl/maps/QRpoxKKPECaV4QS37
Culinario,Mercado de San Juan,"Si eres un amante de la comida, este mercado es conocido por su oferta de ingredientes exóticos y platillos gourmet. Para una experiencia auténtica, puedes explorar este mercado y probar diferentes platillos locales.","Av Arcos de Belén 41, Colonia Centro, Centro, Cuauhtémoc, 06070 Ciudad de México, CDMX",https://goo.gl/maps/QPq81MxmZ8n9hDgM7
Vida nocturna,Patrick Miller,Conocido por su música de los 80 y 90 y su ambiente inclusivo.,"Merida 17, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX",https://goo.gl/maps/KttqMT9szj7B3Rov5
Bares,Limantour,Conocido por sus cócteles artesanales y su ambiente elegante.,"Av. Álvaro Obregón 106, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX",https://goo.gl/maps/5JNnNi3efzcgDKd8A
Sightseen,El Zócalo,"La plaza principal de la Ciudad de México, rodeada de edificios históricos como la Catedral Metropolitana y el Palacio Nacional, donde puedes ver murales de Diego Rivera.","C. Reforma 25, Centro Histórico de la Cdad. de México, San Francisco Tlalnepantla, Xochimilco, 16215 Ciudad de México, CDMX",https://goo.gl/maps/htZU4WkDzPdzTjeh8
Sightseen,Chapultepec,"Este gran parque ofrece muchas atracciones, incluyendo el Castillo de Chapultepec, el Museo Nacional de Historia y el Zoológico de Chapultepec.","Miguel Hidalgo, Ciudad de México, CDMX",https://goo.gl/maps/aGZCggDaY46o4bu86
Sightseen,Coyoacán,"Este barrio bohemio es famoso por la Casa Azul, donde vivió Frida Kahlo, y por su vibrante mercado y plazas.",,https://goo.gl/maps/yxSXqNySjUMKQLdc6
Sightseen,Paseo de la Reforma,"Una de las principales avenidas de la ciudad, hogar de monumentos como el Ángel de la Independencia.","Colonia Cuauhtémoc, 06500 Ciudad de México, CDMX",https://goo.gl/maps/aq9Lh2nTRpbi1cEWA
Sightseen,Templo Mayor,"Las ruinas de un importante templo azteca ubicado en el centro de la ciudad, junto a un museo que explica su historia.","Seminario 8, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06060 Ciudad de México, CDMX",https://goo.gl/maps/Zh7pJEUT8fgzeWdr7
Sightseen,Basilica de Santa María de Guadalupe,"Uno de los sitios religiosos más importantes de México, y un destino importante para los peregrinos católicos.","Fray Juan de Zumárraga No. 2, Villa Gustavo A. Madero, Gustavo A. Madero, 07050 Ciudad de México, CDMX",https://goo.gl/maps/p849r2ppJ8jpT1jc9
Sightseen,Polanco,"Si estás interesado en la alta cocina y las compras de lujo, este barrio es conocido por sus restaurantes elegantes y tiendas de diseñadores.",,https://goo.gl/maps/4pafq45CJB1U6SZD9
Sightseen,Condesa,"La Condesa en Ciudad de México es conocida por sus parques arbolados, arquitectura art déco, cafés modernos y ambiente relajado.",,https://goo.gl/maps/3t8tyEN6taGKYq4E7
Sightseen,Colonia Roma,"La Colonia Roma en Ciudad de México destaca por su arquitectura ecléctica, galerías de arte, restaurantes gourmet y ambiente bohemio.",,https://goo.gl/maps/hjyrjbiKnGxsV11x9
Sightseen,Torre Latinoamericana,"Para obtener una vista panorámica de la ciudad, puedes subir a esta torre icónica.","Eje Central Lázaro Cárdenas 2, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX",https://goo.gl/maps/Jba6Fpwg2iKwQBkU8
Sightseen,Xochimilco,"Conocido por sus canales y jardines flotantes, puedes disfrutar de un paseo en una colorida trajinera mientras escuchas música en vivo.",,https://goo.gl/maps/zmGQVeeXrea7Jd6WA
Cultural,Garibaldi,"Para una experiencia más local, puedes visitar la Plaza Garibaldi, famosa por sus mariachis.","Eje Central Lázaro Cárdenas 43, Centro, Cuauhtémoc, 06010 Ciudad de México, CDMX",https://goo.gl/maps/mDvAkjMHLQtvYevo7
Cultural,Museo Frida Kahlo (Casa Azul)," La antigua residencia de Frida Kahlo y Diego Rivera, ahora un museo dedicado a la vida y obra de Kahlo.","Londres 247, Del Carmen, Coyoacán, 04100 Ciudad de México, CDMX",https://goo.gl/maps/7zpFAQsUcGPPTtjr6
Cultural,Museo Soumaya,"Conocido por su arquitectura moderna y su colección de arte europeo y mexicano, incluyendo muchas obras de Salvador Dalí y Auguste Rodin.","Blvd. Miguel de Cervantes Saavedra, Granada, Miguel Hidalgo, 11529 Ciudad de México, CDMX",https://goo.gl/maps/ZAfHK8qQTaLHu54F8
